topic,key_word
Topic 135,candied
Topic 135,hints
Topic 135,powerful
Topic 135,showing
Topic 135,hint
Topic 136,floral
Topic 136,cinnamon
Topic 136,minerality
Topic 136,cola
Topic 136,apricot
Topic 136,weight
Topic 136,aged
Topic 136,heavy
Topic 136,sharp
Topic 136,hard
Topic 137,weight
Topic 137,year
Topic 137,color
Topic 137,feels
Topic 137,berries
Topic 137,jammy
Topic 137,wild
Topic 137,quite
Topic 137,hard
Topic 137,coffee
Topic 138,year
Topic 138,taste
Topic 138,berries
Topic 138,jammy
Topic 138,powerful
Topic 138,strong
Topic 138,wild
Topic 138,leather
Topic 138,structured
Topic 138,toasty
Topic 139,round
Topic 139,sour
Topic 139,toasty
Topic 139,floral
Topic 139,cinnamon
Topic 139,lively
Topic 139,candy
Topic 139,sweetness
Topic 139,weight
Topic 139,lime
Topic 140,round
Topic 140,heavy
Topic 140,apricot
Topic 140,hard
Topic 140,wild
Topic 140,core
Topic 140,berries
Topic 140,medium
Topic 140,richness
Topic 140,nice
Topic 141,sour
Topic 141,wines
Topic 141,sugar
Topic 141,candy
Topic 141,bitter
Topic 141,cedar
Topic 141,round
Topic 141,color
Topic 141,palate
Topic 141,savory
Topic 142,wines
Topic 142,forward
Topic 142,cinnamon
Topic 142,powerful
Topic 142,food
Topic 142,opens
Topic 142,oaky
Topic 142,sharp
Topic 142,high
Topic 142,sweetness
Topic 143,price
Topic 143,floral
Topic 143,powerful
Topic 143,leather
Topic 143,strong
Topic 143,bitter
Topic 143,round
Topic 143,candied
Topic 143,cherries
Topic 143,food
Topic 144,food
Topic 144,friendly
Topic 144,intensity
Topic 144,delivers
Topic 144,warm
Topic 144,make
Topic 144,power
Topic 144,feels
Topic 144,rounded
Topic 144,makes
Topic 145,core
Topic 145,minerality
Topic 145,cinnamon
Topic 145,strong
Topic 145,year
Topic 145,sweetness
Topic 145,acids
Topic 145,apricot
Topic 145,taste
Topic 145,opens
Topic 146,stone
Topic 146,opens
Topic 146,minerality
Topic 146,grapes
Topic 146,sugar
Topic 146,plenty
Topic 146,valley
Topic 146,honey
Topic 146,cool
Topic 146,bitter
Topic 147,food
Topic 147,spices
Topic 147,friendly
Topic 147,candied
Topic 147,dusty
Topic 147,apricot
Topic 147,opens
Topic 147,complexity
Topic 147,core
Topic 147,rounded
Topic 148,toasty
